id,name,name_zh,url,type,news_list_dynamic,news_list,news_a_href,news_list_next_page_a_href,new_list_title,news_list_date,news_title,news_date_multi,news_date,news_view,news_author,news_source,news_content,url_prefix,disabled
72,dlmu,大连海事大学,http://news.dlmu.edu.cn/hdyw.htm,海大要闻,0,div.n-news dl,dd span a::attr("href"),a.Next::attr("href"),,dd i::text,div.n-news-title h1::text,0,,div.n-news-title p::text,div.n-news-title p::text,div.n-news-title p::text,div#vsb_content_2 ::text,http://news.dlmu.edu.cn/,1
73,ybu,延边大学,http://www.ybu.edu.cn/ydxw.htm,延大新闻,0,div.lanmu-lm ul li,div a::attr("href"),a.Next::attr("href"),,div.shijian::text,div.neirong-bt::text,0,,div.neirong-bt-xia span:nth-child(2) ::text,,,div.content ::text,http://www.ybu.edu.cn/,1
74,nenu,东北师范大学,http://www.nenu.edu.cn/139/list.htm,东师新闻,0,table#single-news-table tr,h2 a::attr("href"),a.next::attr("href"),,td.news-table-date span::text,h1.arti-title::text,0,,span.WP_VisitCount::text,,,div.wp_articlecontent ::text,http://www.nenu.edu.cn,1
75,heu,哈尔滨工程大学,http://gongxue.cn/news/ShowClass.asp?ClassID=4383,要闻,0,div.wenzhangzhengwen table tbody tr,a::attr("href"),div.showpage a:nth-last-child(4)::attr("href"),,,td.wenzhangbiaoti::text,1,div#hight62_left ::text,div#hight62_left ::text,div#hight62_left ::text,div#hight62_left ::text,div.wenzhangzhengwen ::text,http://gongxue.cn,1
76,neau,东北农业大学,http://www.neau.edu.cn/list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1194,学校要闻,0,ul.list li,div.title a::attr("href"),a.Next::attr("href"),,strong::text,div.title::text,0,,div.neiTop ::text,neiTop,neiTop,div.neiCon ::text,http://www.neau.edu.cn,1
77,nefu,东北林业大学,http://news.nefu.edu.cn/dlyw.htm,东林要闻,0,ul.ul-news li,a::attr("href"),span.p_next a::attr("href"),,,div.m-text-b h1::text,0,div.l span::text,,div.l span:nth-child(2)::text,,div.v_news_content ::text,http://news.nefu.edu.cn/,1
78,ecust,华东理工大学,https://news.ecust.edu.cn/news?important=1,校园要闻,0,div.content ul li,a::attr("href"),li.next a::attr("href"),,span.time::text,div.content_title h2:nth-child(2)::text,0,,p.titles::text,p.titles::text,p.titles::text,div.content_main ::text,https://news.ecust.edu.cn,1
79,dhu,东华大学,http://www.dhu.edu.cn/yw/listm.htm,要闻,0,ul.wp_article_list li,a::attr("href"),a.next::attr("href"),,,h1.arti_title::text,0,span.arti_update::text,,span.arti_publisher::text,span.arti_publisher:text,div.read ::text,,1
80,shou,上海海洋大学,https://www.shou.edu.cn/yw/list.htm,要闻,0,div#wp_news_w8 a,::attr("href"),,,,,,,,,,,,1
81,shutcm,上海中医药大学,https://www.shutcm.edu.cn/221/list.htm,焦点新闻,0,div#wp_news_w9 ul li,a::attr("href"),a.next::attr("href"),,span.column-news-date::text,h1.arti-title::text,0,,span.WP_VisitCount::text,,,div.wp_articlecontent ::text,https://www.shutcm.edu.cn,1
82,,上海外国语大学,http://news.shisu.edu.cn/,,1,,,,,,,,,p.math_time_l a.in-gz::text,p.math_time_l span:nth-child(3)::text,p.math_time_l span:nth-child(4)::text,.content p ::text,http://news.shisu.edu.cn,1
83,sufe,上海财经大学,http://news.sufe.edu.cn/179/list.htm,要闻,0,div#wp_news_w69 li,h3 a::attr("href"),a.next::attr("href"),,,h1.arti-title::text,0,span.arti-update::text,,span.arti-views::text,span.arti-views::text,div.wp_articlecontent ::text,http://news.sufe.edu.cn,1
84,sus,上海体育学院,https://www.sus.edu.cn/sylm/xyxw.htm,要闻,0,div.jtfy ul li,a::attr("href"),a.Next::attr("href"),,span.fr::text,div.con1::text,0,,,,,div#vsb_content_2 ::text,https://www.sus.edu.cn/,1
85,shcmusic,上海音乐学院,http://www.shcmusic.edu.cn/list_0.aspx?cid=294&navindex=0,信息速递,0,div.main ul li dl,a::attr("href"),a#NavStyle_nxt_btn::attr("href"),,dd::text,div.pop_bt::text,0,,div.top_sj_ll::text,div.top_sj_ll::text,div.top_sj_ll::text,div.pop_wzzw ::text,http://www.shcmusic.edu.cn/,1
86,shu,上海大学,http://www.shu.edu.cn/index/zyxw.htm,重要新闻,0,div.list-con ul li,a::attr("href"),a.Next::attr("href"),,div.list-date::text,span.shuHead::text,0,,,,,div#vsb_content_2 ::text,,1
87,suda,苏州大学,http://www.suda.edu.cn/suda_news/sdyw/index.html,苏大要闻,0,table tr td table tr,a::attr("href"),td input:nth-child(2),,,,,,,,,,,1
88,nuaa,南京航空航天大学,http://newsweb.nuaa.edu.cn/zhyw1/list.htm,综合要闻,0,ul.wp_article_list li,a::attr("href"),a.next::attr("href"),,span.Article_PublishDate::text,h1.arti_title::text,0,,span.WP_VisitCount::text,span.arti_publisher::text,span.arti-source::text,div.wp_articlecontent ::text,http://newsweb.nuaa.edu.cn,1
89,njust,南京理工大学,http://zs.njust.edu.cn/3550/list.htm,学校要闻,0,ul.wp_article_list li,a::attr("href"),a.next::attr("href"),,span.Article_PublishDate::text,h1.arti_title::text,0,,span.WP_VisitCount::text,span.arti_publisher::text,span.arti_resources::text,div.wp_articlecontent ::text,http://zs.njust.edu.cn,1
90,cumt,中国矿业大学,http://www.cumt.edu.cn/13724/list.htm,视点新闻,0,,,,,,,,,,,,,,1
91,njupt,南京邮电大学,http://www.njupt.edu.cn/53/listm.htm,南邮要闻,0,ul.wp_article_list li,a::attr("href"),a.next::attr("href"),,,h1.arti-title::text,0,span.arti-update::text,span.WP_VisitCount::text,,,div.wp_articlecontent ::text,http://www.njupt.edu.cn,1
92,hhu,河海大学,http://www.hhu.edu.cn/166/list.htm,河海新闻,0,div#newslist div table tr,a::attr("href"),a.next::attr("href"),,td.wzlb tr td div::text,span.Article_Title::text,0,span.Article_PublishDate::text,,,,div.Article_Content ::text,http://www.hhu.edu.cn,1
93,jiangnan,江南大学,http://news.jiangnan.edu.cn/yw.htm,要闻,0,ul.nobt dt,a::attr("href"),a.Next::attr("href"),,span::text,div.con_title h3::text,0,,,div.con_title span::text,div.con_title span::text,div.v_news_content ::text,http://news.jiangnan.edu.cn/,1
94,njfu,南京林业大学,http://news.njfu.edu.cn/news.php?cid=1,综合新闻,0,ul.news_list2 li,span.title a::attr("href"),div.page_list a:nth-last-child(2)::attr("href"),,span.hits::text,h1.title::text,0,,div.info small:nth-child(6)::text,div.info small:nth-child(5)::text,div.info small:nth-child(2)::text,div#textarea ::text,http://news.njfu.edu.cn/,1
95,nuist,南京信息工程大学,https://news.nuist.edu.cn/tjxw/list.htm,天际要闻,0,ul.col_list  li,a::attr("href"),a.next::attr("href"),,span.col_meta::text,h1.arti-title::text,0,,span.WP_VisitCount::text,arti-author::text,span.arti-info::text,div.wp_articlecontent ::text,https://news.nuist.edu.cn,1
96,njau,南京农业大学,http://news.njau.edu.cn/xykx/list.htm,校园快讯,0,ul.news_list li,a::attr("href"),a.next::attr("href"),,span.news_meta::text,h1.arti_title::text,0,,,span.arti_publisher::text,span.arti_from::text,div.wp_articlecontent ::text,http://news.njau.edu.cn,1
97,njucm,南京中医药大学,http://xyw.njucm.edu.cn/2350/list.htm,要闻,0,div.wzlb div table tr,a::attr("href"),a.next::attr("href"),,td.nlink table tr div::text,span.Article_Title::text,0,,span.WP_VisitCount::text,,span.Article_Source::text,div.wznr ::text,http://xyw.njucm.edu.cn,1
98,cpu,中国药科大学,http://news.cpu.edu.cn/243/list.htm,热点,0,ul.wp_article_list li,a::attr("href"),a.next::attr("href"),,span.Article_PublishDate::text,h1.arti_title::text,0,,span.WP_VisitCount::text,span.arti_publisher ::text,span.arti_publisher ::text,div.wp_articlecontent ::text,http://news.cpu.edu.cn,1
99,,南京师范大学,http://sun.njnu.edu.cn/news/zhbd.html,,1,,,,,,#title::text,,#date::text,,#publisher::text,#author a::text,#news_2_content p::text,,1
100,,中国美术学院,,,,,,,,,,,,,,,,,1
101,ahu,安徽大学,http://news.ahu.edu.cn/4642/list.htm,新闻资讯,0,ul.wp_article_list li,a::attr("href"),a.next::attr("href"),,span.Article_PublishDate::text,h1.arti_title::text,0,,span.WP_VisitCount::text,span.arti_publisher::text,span.arti_publisher::text,div.wp_articlecontent ::text,http://news.ahu.edu.cn,1
102,hfut,合肥工业大学,http://news.hfut.edu.cn/list-1-1.html,工大要闻,0,ul.content list li,a::attr("href"),div.pages a:last-child::attr("href"),,span.rt::text,div#Article h2::text,0,,,,,div#artibody ::text,http://news.hfut.edu.cn,1
103,fzu,福州大学,https://news.fzu.edu.cn/html/fdyw/1.html,福大要闻,0,div.list_main_content ul li,a::attr("href"),li.nextpage a::attr("href"),,span.list_time::text,div.detail_main_content p::text,0,,,span#author::text,,div#news_content_display ::text,https://news.fzu.edu.cn,1
104,ncu,南昌大学,http://news.ncu.edu.cn/html/ndyw/index.html,,1,,,,,,.show_title ::text,,,,.show_date .dat1::text,,.article_show ::text,http://news.ncu.edu.cn,1
105,henu,河南大学,http://news.henu.edu.cn/hdzy/xxxw.htm,新闻速递,0,ul.news li,a::attr("href"),a.Next::attr("href"),,a::text,div.title::text,0,,,p.articleIntro::text,p.articleIntro::text,div#articleBody ::text,http://news.henu.edu.cn/hdzy/,1
106,cug,中国地质大学,http://www.cug.edu.cn/index/ddyw.htm,地大要闻,0,ul.col-news-list li,a.news-title::attr("href"),a.Next::attr("href"),,span.news-date::text,h1.arti_title::text,0,,span.arti_views::text,span.arti_publisher::text,,div#vsb_content ::text,http://www.cug.edu.cn/index/,1
